"dataset","subregion","start_date","runtime","start_date_1","runtime_1","start_date_2","runtime_2","start_date_3","runtime_3","start_date_4","runtime_4"
"brazil"         ,"Pernambuco"                                             ,2020-09-30 00:06:03,-1              ,2020-09-29 09:46:50,1641.468        ,2020-09-28 19:47:16,1472.337        ,2020-09-27 01:39:05,941.057000000001,2020-09-27 05:25:25,1515.406
"brazil"         ,"Piauí"                                                  ,2020-09-30 00:06:03,-1              ,2020-09-29 09:46:50,1378.505        ,2020-09-28 19:47:16,1362.939        ,2020-09-27 01:39:05,1067.104        ,2020-09-27 05:25:25,1569.308
"brazil"         ,"Rio de Janeiro"                                         ,2020-09-30 00:06:03,-1              ,2020-09-29 09:46:50,1080.77         ,2020-09-28 19:47:16,1152.515        ,2020-09-27 01:39:05,716.606         ,2020-09-27 05:25:25,1265.931
"brazil"         ,"Rio Grande do Norte"                                    ,2020-09-30 00:06:03,-1              ,2020-09-29 09:46:50,1187.01         ,2020-09-28 19:47:16,1006.215        ,2020-09-27 01:39:05,823.367999999999,2020-09-27 05:25:25,811.758
"brazil"         ,"Rio Grande do Sul"                                      ,2020-09-30 00:06:03,-1              ,2020-09-29 09:46:50,1686.354        ,2020-09-28 19:47:16,1303.666        ,2020-09-27 01:39:05,816.51          ,2020-09-27 05:25:25,1168.755
"brazil"         ,"Rondônia"                                               ,2020-09-30 00:06:03,-1              ,2020-09-29 09:46:50,1430.202        ,2020-09-28 19:47:16,1483.18         ,2020-09-27 01:39:05,886.683999999999,2020-09-27 05:25:25,1879.954
"brazil"         ,"Roraima"                                                ,2020-09-30 00:06:03,-1              ,2020-09-29 09:46:50,2099.597        ,2020-09-28 19:47:16,2077.678        ,2020-09-27 01:39:05,1080.498        ,2020-09-27 05:25:25,1488.386
"brazil"         ,"Santa Catarina"                                         ,2020-09-30 00:06:03,-1              ,2020-09-29 09:46:50,2015.878        ,2020-09-28 19:47:16,2128.549        ,2020-09-27 01:39:05,1294.551        ,2020-09-27 05:25:25,2265.298
"brazil"         ,"São Paulo"                                              ,2020-09-30 00:06:03,-1              ,2020-09-29 09:46:50,1567.988        ,2020-09-28 19:47:16,1515.824        ,2020-09-27 01:39:05,1064.125        ,2020-09-27 05:25:25,1794.997
"brazil"         ,"Sergipe"                                                ,2020-09-30 00:06:03,-1              ,2020-09-29 09:46:50,2059.724        ,2020-09-28 19:47:16,1790.023        ,2020-09-27 01:39:05,1036.461        ,2020-09-27 05:25:25,1778.491
