Country,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Malta,397 (183 -- 963),Likely increasing,1.4 (0.99 -- 2),0.1 (-0.0025 -- 0.24),6.9 (2.9 -- -270)
Martinique,69 (1 -- 2904),Stable,0.65 (0.088 -- 2.1),-0.1 (-0.32 -- 0.27),-6.8 (2.6 -- -2.2)
Mauritania,1472 (216 -- 8684),Likely increasing,1.2 (0.69 -- 1.8),0.054 (-0.09 -- 0.2),13 (3.4 -- -7.7)
Mauritius,0 (0 -- 1),Likely decreasing,0.91 (0.3 -- 1.2),-0.025 (-0.22 -- 0.042),-27 (17 -- -3.1)
Mayotte,0 (0 -- 19),Likely decreasing,0.089 (0.00015 -- 1.4),-0.31 (-0.39 -- 0.097),-2.2 (7.2 -- -1.8)
Mexico,8300 (5004 -- 13429),Stable,0.97 (0.82 -- 1.1),-0.009 (-0.051 -- 0.038),-77 (18 -- -14)
Moldova,370 (217 -- 678),Stable,0.86 (0.7 -- 1.1),-0.04 (-0.088 -- 0.032),-17 (22 -- -7.9)
Monaco,31 (9 -- 115),Likely increasing,1.2 (0.74 -- 2.1),0.063 (-0.075 -- 0.27),11 (2.6 -- -9.2)
Mongolia,25 (2 -- 204),Likely increasing,0.97 (0.3 -- 2.1),-0.0076 (-0.22 -- 0.28),-91 (2.5 -- -3.1)
Montenegro,369 (175 -- 728),Likely decreasing,0.98 (0.68 -- 1.3),-0.0052 (-0.093 -- 0.084),-130 (8.3 -- -7.5)
Morocco,881 (607 -- 1213),Likely decreasing,0.85 (0.72 -- 0.97),-0.043 (-0.082 -- -0.0086),-16 (-81 -- -8.5)
